[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
種子,銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung2-zi2,ngan4-hong4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,，,點解,呢次,啲,菜,好食,咗,咁,多,嘅,？,」,阿樂,喺度,夾,緊,條,菜,。,,,,,,,,,,,,,,,,,,,,
#,maa4-maa1,#,dim2-gaai2,ni1-ci3,di1,coi3,hou2-sik6,zo2,gam3,do1,ge2,#,#,Aa3-lok6,hai2-dou6,gaap3,gan2,tiu4,coi3,#,,,,,,,,,,,,,,,,,,,,
#,mother,#,why,this time,these,vegetables,tasty,-en,so,much,(particle),#,#,Lok,right here,pick,-ing,(measure),vegetable,#,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,因為,呢次,係,食,有機,菜,呀,！,等,我哋,食,完,飯,再,同,你,講,個,『,種子,銀行,』,嘅,故事,。,」,,,,,,,,,,,,,,
#,jan1-wai6,ni1-ci3,hai6,sik6,jau5-gei1,coi3,aa3,#,dang2,ngo5-dei6,sik6,jyun4,faan6,zoi3,tung4,nei5,gong2,go3,#,zung2-zi2,ngan4-hong4,#,ge3,gu3-si6,#,#,,,,,,,,,,,,,,
#,because,this time,is,eat,organic,vegetables,(particle),#,wait,we,eat,finish,meal,again,with,you,say,(measure),#,seed,bank,#,(linker),story,#,#,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等,媽媽,整,好,晒,嘢,坐低,，,佢,就,開始,講,：,「,阿樂,，,喺,好,耐,之前,有,一個,地方,……,」,,,,,,,,,,,,,,,,
dang2,maa4-maa1,zing2,hou2,saai3,je5,co5-dai1,#,keoi5,zau6,hoi1-ci2,gong2,#,#,Aa3-lok6,#,hai2,hou2,noi6,zi1-cin4,jau5,jat1-go3,dei6-fong1,#,#,,,,,,,,,,,,,,,,
wait,mother,make,well,all,thing,sit down,#,she,then,begin,to say,#,#,Lok,#,at,very,long time,before,have,one,place,#,#,,,,,,,,,,,,,,,,
